GCA3SBI2Y6AYHLAW2GBTS7C5HTSFW6OTZACHOVJGBQ6JENTE3ZXPNNSL	-3.93E+11	0	0	0	-3.93337E+11	0		-1.18001E+11
GCNYF4V6CUY2XENJGRHLNB3AQE3RZIOWYHUN6YU5T34N3ZSK4KGCB7DD	0	-10000000	0	0	0	-10000000		-10000000
GCM355M2TRPZMEKWR2KW5D3GXLGC6UT7OAXKGUZJKBIHUQUTVQ3NWUO5	7.77E-16	0	0	0	7.77156E-16	0		2.33147E-16
GCXK4736K4JGEZRDGLLXAJDTX7H37JPKXK6VJQPJR56676EHYFGOIIBH	1.78E-15	0	0	0	1.77636E-15	0		5.32907E-16
GCTETTLL22T67HVCXRP4DTB3QR5MK6KHEIVGZ3E3OOODKQSJCUGPXDHA	2.75E-14	0	0	0	2.75335E-14	0		8.26006E-15
GBNLWTIVRNJ35QDA5QGYEWG6YKTFVLKDLN2UVSQJVU6WHRNCBKMFZDYB	2.17E-13	0	0	0	2.17132E-13	0		6.51396E-14
GCJDMKZNWY4HJBH4H3267G25D2DD3PKG2E52J7WECST7KXVU6R3OFMIY	2.84E-13	0	0	0	2.84217E-13	0		8.52651E-14
GBXBSY5FITOKVMS7DMXGS3V6CBNLDHUFCFWR5UV4QE3G33FLDFPOQ7RH	3.98E-13	0	0	0	3.97904E-13	0		1.19371E-13
GCYVQKYCJPYCV74GPYTFHVQG4TMXU2XZHOYKZ63BGYEQ4FPI26FW6DSA	4.55E-13	0	0	0	4.54747E-13	0		1.36424E-13
GCYZSH5777JXLXNLHSX3OZ4TL4YP5VFZJ2GWFRY2IOTD3R3YK7NPR3SX	4.55E-13	0	0	0	4.54747E-13	0		1.36424E-13
GBJWW46WUBYDTVOQGQPKHD7OAAXBNKKWVK5D3NRV62O2KNRSSTEOCQDI	7.96E-13	0	0	0	7.95808E-13	0		2.38742E-13
GDRLI3H3SOKI7AOQGBT6FOQ2JG7ZHI64WXA4DVLSGGDGYYWO2LSD46U7	1.51E-12	0	0	0	1.50635E-12	0		4.51905E-13
GAF4QAUUAIM4FFWVGYXOI4LFHNO34JRMBTENQIILEOVWARDIBKWVCK52	1.72E-12	0	0	0	1.71951E-12	0		5.15854E-13
GD5UMWNRYLLMLY63CYL2URJY4RVOUC5HLYBSZDJ7WYXJCV3FR3UWCRCW	2.09E-12	0	0	0	2.089E-12	0		6.26699E-13
GDKS6F6HCST2ABQPDAY5MCM66GGQBC3HH6LFL2HVKIJFVUPKQRANMAP4	2.19E-12	0	0	0	2.18847E-12	0		6.56541E-13
GBD2ERBW3ORDXGCAWGGIVBF53SCT7JJCUQF42NJ56MXQXZM4MTPZDUS3	1.46E-11	0	0	0	1.45519E-11	0		4.36557E-12
GASJDZTX7L2QWS6A6MS2OKZLVWB5LR5HR2XRBGZXCRLPWKSQSEAHJNQ7	3.00E-06	0	0	0	3E-06	0		9E-07
GCY6YM2KHN4NKOD3UF5WMXJBO22SBWKQSWAM5KV2QHY445LTFQXWGA2E	139.519996	-167.222994	-139.519995	167.222995	1.005E-06	1E-06		1.3015E-06
GC76SNDO2LQIXOYZADK6UHXK7VAM7VAAYJIIJ5PAXG2MXVXXK4OWRXEE	1.70E-05	0	0	0	1.7E-05	0		5.1E-06
GBXCHJ4C2JOE3DNFJRO4WKWM4M4IKMACZP5HIJWQVMHXF5YC6XDFXLUU	5083.21601	-5432.425	-5083.21601	5432.425031	0	3.06E-05		3.06E-05
GCWAG4OILPGZOCEUVSUOH2OSF4TVLTNELMM4KLAPV4OLOCHRTU7DLGRT	0.000106	0	0	0	0.000106	0		3.18E-05
GCLTBYZRL7ZBJKFMY3CRMW4WTPX5M7QL5IRZXKR7GFZTCKC7LHYRVIXE	0.000206	0	0	0	0.000206	0		6.18E-05
GBKGPKQJDIA7ESDXCZ5ZLY24FZUHYKUCICGIIQBFIGAK3XXIMDINI6MQ	0.000228	0	0	0	0.000228	0		6.84E-05
GCZLXTU5UMQPMJQM322O6NFN4QAO67DHKZABO2YKGTBW65R57UX3K6JX	0.000273	0	0	0	0.000273	0		8.19E-05
GB65JIPBICS65P4PGFJIN6DQUMA3SIPOX6V5VTWPLOSQT735I7YSTQA6	0.000302	0	0	0	0.000302	0		9.06E-05
GDYMC32CNI5Q5AARBI4MXR5TXMXBGRFETB6NHSCD266KMUO2CW5TYC7N	0.000469	0	0	0	0.000469	0		0.0001407
